Date,Open,High,Low,Close,Adj Close,Volume
1997-04-09,12.9279,13.0246,12.9042,12.9456,12.9456,2292201
1997-04-10,12.9456,12.9456,12.8015,12.8588,12.8588,2358331
1997-04-11,12.7572,12.844,12.698,12.7197,12.7197,1680077
1997-04-14,12.6733,13.21,12.6536,13.1282,13.1282,1742376
1997-04-15,13.3185,13.7516,13.2761,13.7278,13.7278,6158439
1997-04-16,13.7278,14.1619,13.652,14.0041,14.0041,6174285
1997-04-17,13.9795,14.2359,13.941,14.2359,14.2359,3435561
1997-04-18,14.2488,14.2685,13.9173,13.9795,13.9795,2026033
1997-04-21,14.0041,14.1471,13.8976,14.0041,14.0041,2275251
1997-04-22,13.9795,14.522,13.9173,14.4608,14.4608,2776435
1997-04-23,14.4608,14.9156,14.4214,14.813,14.813,3762944
1997-04-24,15.0646,15.0646,14.4835,14.4983,14.4983,4766946
1997-04-25,14.4608,14.6887,14.3582,14.4835,14.4835,2219506
1997-04-28,14.4835,14.7341,14.4608,14.6661,14.6661,1607383
1997-04-29,14.8772,14.8772,14.5615,14.6088,14.6088,2719596
1997-04-30,14.6463,15.106,14.6246,14.7913,14.7913,3443764
1997-05-01,14.7913,15.0833,14.7558,15.0833,15.0833,2617941
1997-05-02,15.1287,15.5598,14.959,15.5204,15.5204,3630134
1997-05-05,15.5598,15.909,15.4355,15.8961,15.8961,3802845
1997-05-06,15.8527,15.9317,15.6268,15.6831,15.6831,3975002
1997-05-07,15.4996,15.6486,15.3546,15.3546,15.3546,3015272
1997-05-08,15.398,15.8301,15.3773,15.6634,15.6634,3331175
1997-05-09,15.8775,16.1024,15.7522,16.058,16.058,3366152
1997-05-12,16.058,16.058,15.6634,16.0027,16.0027,5929438
1997-05-13,15.9781,16.27,15.8961,16.1458,16.1458,6460675
1997-05-14,16.1842,16.4969,15.909,15.9317,15.9317,4270680
1997-05-15,15.9317,16.3697,15.8961,16.3539,16.3539,3476012
1997-05-16,16.3292,16.5739,16.204,16.3697,16.3697,5034752
1997-05-19,16.3292,16.3697,16.0205,16.2918,16.2918,2810867
1997-05-20,16.1221,16.204,15.909,16.1221,16.1221,4050973
1997-05-21,16.0797,16.5531,16.058,16.0797,16.0797,4349384
1997-05-22,16.1684,16.3697,16.1684,16.204,16.204,3860775
1997-05-23,16.1842,16.2918,16.0402,16.204,16.204,1930934
1997-05-27,16.0797,16.3539,16.0797,16.2218,16.2218,4170118
1997-05-28,16.1221,16.3086,16.0797,16.27,16.27,2539786
1997-05-29,16.1221,16.3539,16.1221,16.2454,16.2454,3577123
1997-05-30,16.0797,16.3086,16.0797,16.2218,16.2218,2556726
1997-06-02,16.204,16.4299,16.1221,16.2454,16.2454,3320244
1997-06-03,16.204,16.4743,16.1221,16.1458,16.1458,1997067
1997-06-04,16.1221,16.3539,16.0797,16.3086,16.3086,4222586
1997-06-05,16.3539,16.6005,16.2918,16.5197,16.5197,6242607
1997-06-06,16.5197,16.9704,16.4743,16.641,16.641,5668736
1997-06-09,16.6005,16.9369,16.6005,16.9369,16.9369,3461802
1997-06-10,16.9517,17.4134,16.9369,17.222,17.222,4771862
1997-06-11,17.222,17.3887,17.0622,17.2003,17.2003,5271946
1997-06-12,17.3305,17.6176,17.2861,17.5821,17.5821,4981731
1997-06-13,17.6176,18.1799,17.5939,18.0772,18.0772,5028738
1997-06-16,18.0122,18.0772,17.9076,17.9323,17.9323,4057532
1997-06-17,17.953,18.0122,17.8287,17.9323,17.9323,2506989
1997-06-18,17.9323,17.9323,17.8061,17.9076,17.9076,2054997
1997-06-19,17.9076,18.031,17.8287,17.8849,17.8849,3223509
1997-06-20,17.8504,17.953,17.8061,17.8061,17.8061,3361234
1997-06-23,17.7863,17.9076,17.511,17.511,17.511,2423371
1997-06-24,17.6807,18.0546,17.5663,18.0122,18.0122,3703370
1997-06-25,17.9323,18.098,17.7182,17.8061,17.8061,3034947
1997-06-26,17.7399,17.9076,17.4548,17.5574,17.5574,2500433
1997-06-27,17.5574,18.1059,17.5574,17.953,17.953,2621763
1997-06-30,17.9747,18.0122,17.5663,17.8504,17.8504,4294186
1997-07-01,17.7635,17.8662,17.4548,17.4904,17.4904,4031843
1997-07-02,17.4548,17.9076,17.365,17.8287,17.8287,3905049
1997-07-03,17.9905,18.1868,17.9905,18.1306,18.1306,1792111
1997-07-07,18.1306,18.2223,17.9905,17.9905,17.9905,3432834
1997-07-08,18.025,18.5074,17.9905,18.4511,18.4511,5283426
