Date,Open,High,Low,Close,Adj Close,Volume
1980-08-28,2.6636,2.6636,2.60758,2.60758,2.60758,5930358
1980-08-29,2.60758,2.61351,2.58901,2.60758,2.60758,4383756
1980-09-02,2.60758,2.65115,2.60758,2.63238,2.63238,5157056
1980-09-03,2.65718,2.68227,2.65718,2.67605,2.67605,5658795
1980-09-04,2.67605,2.72554,2.65718,2.66992,2.66992,8221809
1980-09-05,2.66992,2.68227,2.66992,2.67605,2.67605,5632934
1980-09-08,2.66992,2.66992,2.61351,2.61351,2.61351,6507103
1980-09-09,2.60758,2.60758,2.58268,2.60156,2.60156,7363157
1980-09-10,2.61351,2.67605,2.61351,2.65718,2.65718,13127997
1980-09-11,2.65718,2.66992,2.63238,2.64492,2.64492,5596728
1980-09-12,2.64492,2.65115,2.60758,2.61351,2.61351,3962192
1980-09-15,2.61351,2.62013,2.59523,2.61351,2.61351,5927766
1980-09-16,2.61351,2.62013,2.58901,2.59523,2.59523,6401064
1980-09-17,2.59523,2.60758,2.59523,2.59523,2.59523,5762249
1980-09-18,2.59523,2.60156,2.57666,2.58901,2.58901,9618405
1980-09-19,2.58901,2.59523,2.54524,2.55157,2.55157,9957206
1980-09-22,2.55157,2.57666,2.51422,2.56392,2.56392,10171867
1980-09-23,2.56392,2.60758,2.55769,2.57033,2.57033,12093483
1980-09-24,2.57666,2.6636,2.57666,2.65115,2.65115,8495954
1980-09-25,2.65115,2.6886,2.63238,2.65115,2.65115,8697687
1980-09-26,2.62013,2.62013,2.59523,2.61351,2.61351,7851971
1980-09-29,2.59523,2.59523,2.54524,2.55157,2.55157,7461443
1980-09-30,2.55769,2.61351,2.55769,2.59523,2.59523,5438961
1980-10-01,2.59523,2.67605,2.54524,2.67605,2.67605,13624565
1980-10-02,2.67605,2.74461,2.65718,2.73207,2.73207,13259898
1980-10-03,2.73207,2.74461,2.71952,2.71952,2.71952,7826109
1980-10-06,2.71952,2.80704,2.71952,2.80053,2.80053,8408021
1980-10-07,2.80053,2.80704,2.77563,2.79421,2.79421,5087226
1980-10-08,2.79421,2.81901,2.78186,2.81288,2.81288,5084640
1980-10-09,2.81288,2.85022,2.80053,2.80053,2.80053,7169191
1980-10-10,2.80053,2.82542,2.79421,2.79421,2.79421,5058780
1980-10-13,2.80053,2.87521,2.80053,2.85644,2.85644,3413897
1980-10-14,2.86899,2.88776,2.86899,2.87521,2.87521,5252753
1980-10-15,2.87521,2.96226,2.87521,2.95603,2.95603,8829587
1980-10-16,2.95603,3.00592,2.91255,2.91888,2.91888,9054592
1980-10-17,2.91888,2.925,2.88776,2.925,2.925,7745935
1980-10-20,2.925,2.96857,2.90623,2.96857,2.96857,5211374
1980-10-21,2.96226,2.96226,2.90623,2.93123,2.93123,5674311
1980-10-22,2.93123,2.93755,2.90623,2.91888,2.91888,5265685
1980-10-23,2.91888,2.93755,2.90011,2.90011,2.90011,4590657
1980-10-24,2.90011,2.90623,2.88144,2.90623,2.90623,6191574
1980-10-27,2.90011,2.90011,2.87521,2.87521,2.87521,4419972
1980-10-28,2.87521,2.88776,2.86899,2.88776,2.88776,3719076
1980-10-29,2.88776,2.89389,2.85644,2.85644,2.85644,9695992
1980-10-30,2.85644,2.86276,2.80704,2.81901,2.81901,4482041
1980-10-31,2.81901,2.85022,2.80053,2.83778,2.83778,7422648
1980-11-03,2.83778,2.94358,2.83778,2.93123,2.93123,7898522
1980-11-05,2.98112,3.03713,2.98112,2.98112,2.98112,13327142
1980-11-06,2.98112,2.98112,2.94358,2.95,2.95,5989841
1980-11-07,2.95,2.96226,2.94358,2.94358,2.94358,3512178
1980-11-10,2.96226,2.98112,2.96226,2.98112,2.98112,3271648
1980-11-11,2.99377,3.04366,2.99377,3.02468,3.02468,6044157
1980-11-12,3.02468,3.03713,2.99377,3.02468,3.02468,8695096
